year,month,min_gwl,mean_gwl,max_gwl,ms_nr,ms_nr_global
2013,6,0.73,0.73,0.73,W_GWM10154,hh-W_GWM10154
2013,7,0.42,0.42,0.42,W_GWM10154,hh-W_GWM10154
2013,8,0.39,0.39,0.39,W_GWM10154,hh-W_GWM10154
2013,9,0.33,0.33,0.33,W_GWM10154,hh-W_GWM10154
2013,10,0.45,0.45,0.45,W_GWM10154,hh-W_GWM10154
2013,11,0.61,0.61,0.61,W_GWM10154,hh-W_GWM10154
2013,12,0.69,0.69,0.69,W_GWM10154,hh-W_GWM10154
2014,1,0.81,0.81,0.81,W_GWM10154,hh-W_GWM10154
2014,2,0.69,0.69,0.69,W_GWM10154,hh-W_GWM10154
2014,3,0.51,0.51,0.51,W_GWM10154,hh-W_GWM10154
2014,4,0.66,0.66,0.66,W_GWM10154,hh-W_GWM10154
2014,5,0.56,0.56,0.56,W_GWM10154,hh-W_GWM10154
2014,6,0.41,0.41,0.41,W_GWM10154,hh-W_GWM10154
2014,7,0.62,0.62,0.62,W_GWM10154,hh-W_GWM10154
2014,8,0.44,0.44,0.44,W_GWM10154,hh-W_GWM10154
2014,9,0.36,0.36,0.36,W_GWM10154,hh-W_GWM10154
2014,10,0.35,0.35,0.35,W_GWM10154,hh-W_GWM10154
2014,11,0.32,0.32,0.32,W_GWM10154,hh-W_GWM10154
2014,12,0.55,0.55,0.55,W_GWM10154,hh-W_GWM10154
2015,1,1.14,1.14,1.14,W_GWM10154,hh-W_GWM10154
2015,2,0.86,0.86,0.86,W_GWM10154,hh-W_GWM10154
2015,3,0.72,0.72,0.72,W_GWM10154,hh-W_GWM10154
2015,4,0.59,0.59,0.59,W_GWM10154,hh-W_GWM10154
2015,5,0.4,0.4,0.4,W_GWM10154,hh-W_GWM10154
2015,6,0.33,0.33,0.33,W_GWM10154,hh-W_GWM10154
2015,7,0.29,0.29,0.29,W_GWM10154,hh-W_GWM10154
2015,8,0.64,0.64,0.64,W_GWM10154,hh-W_GWM10154
2015,9,0.7,0.7,0.7,W_GWM10154,hh-W_GWM10154
2015,10,0.6,0.6,0.6,W_GWM10154,hh-W_GWM10154
2015,11,0.96,0.96,0.96,W_GWM10154,hh-W_GWM10154
2015,12,1.08,1.08,1.08,W_GWM10154,hh-W_GWM10154
2016,1,0.94,0.94,0.94,W_GWM10154,hh-W_GWM10154
2016,2,1.09,1.09,1.09,W_GWM10154,hh-W_GWM10154
2016,3,1.05,1.05,1.05,W_GWM10154,hh-W_GWM10154
2016,4,0.96,0.96,0.96,W_GWM10154,hh-W_GWM10154
2016,5,0.74,0.74,0.74,W_GWM10154,hh-W_GWM10154
2016,6,0.5,0.5,0.5,W_GWM10154,hh-W_GWM10154
2016,7,0.51,0.51,0.51,W_GWM10154,hh-W_GWM10154
2016,8,0.38,0.38,0.38,W_GWM10154,hh-W_GWM10154
2016,9,0.29,0.29,0.29,W_GWM10154,hh-W_GWM10154
2016,10,0.18,0.18,0.18,W_GWM10154,hh-W_GWM10154
2016,11,0.2,0.2,0.2,W_GWM10154,hh-W_GWM10154
2016,12,0.32,0.32,0.32,W_GWM10154,hh-W_GWM10154
2017,1,0.56,0.56,0.56,W_GWM10154,hh-W_GWM10154
2017,2,0.46,0.46,0.46,W_GWM10154,hh-W_GWM10154
2017,3,0.65,0.65,0.65,W_GWM10154,hh-W_GWM10154
2017,4,0.43,0.43,0.43,W_GWM10154,hh-W_GWM10154
2017,5,0.36,0.36,0.36,W_GWM10154,hh-W_GWM10154
2017,6,0.29,0.29,0.29,W_GWM10154,hh-W_GWM10154
2017,7,0.52,0.52,0.52,W_GWM10154,hh-W_GWM10154
2017,8,0.49,0.49,0.49,W_GWM10154,hh-W_GWM10154
2017,9,0.5,0.5,0.5,W_GWM10154,hh-W_GWM10154
2017,10,0.85,0.85,0.85,W_GWM10154,hh-W_GWM10154
2017,11,0.98,0.98,0.98,W_GWM10154,hh-W_GWM10154
2017,12,0.83,0.83,0.83,W_GWM10154,hh-W_GWM10154
2018,1,1.1,1.1,1.1,W_GWM10154,hh-W_GWM10154
2018,2,0.69,0.69,0.69,W_GWM10154,hh-W_GWM10154
2018,3,0.43,0.43,0.43,W_GWM10154,hh-W_GWM10154
2018,4,0.4,0.4,0.4,W_GWM10154,hh-W_GWM10154
2018,5,0.26,0.26,0.26,W_GWM10154,hh-W_GWM10154
2018,6,0.34,0.34,0.34,W_GWM10154,hh-W_GWM10154
2018,7,0.1,0.1,0.1,W_GWM10154,hh-W_GWM10154
2018,8,-0.08,-0.08,-0.08,W_GWM10154,hh-W_GWM10154
2018,9,-0.05,-0.05,-0.05,W_GWM10154,hh-W_GWM10154
2018,10,0.01,0.01,0.01,W_GWM10154,hh-W_GWM10154
2018,11,-0.03,-0.03,-0.03,W_GWM10154,hh-W_GWM10154
2018,12,0.29,0.29,0.29,W_GWM10154,hh-W_GWM10154
2019,1,0.42,0.42,0.42,W_GWM10154,hh-W_GWM10154
2019,2,0.26,0.26,0.26,W_GWM10154,hh-W_GWM10154
2019,3,0.25,0.25,0.25,W_GWM10154,hh-W_GWM10154
2019,4,0.06,0.06,0.06,W_GWM10154,hh-W_GWM10154
2019,5,0.04,0.04,0.04,W_GWM10154,hh-W_GWM10154
2019,6,0.12,0.12,0.12,W_GWM10154,hh-W_GWM10154
2019,7,0.08,0.08,0.08,W_GWM10154,hh-W_GWM10154
2019,8,0.17,0.17,0.17,W_GWM10154,hh-W_GWM10154
2019,9,0.06,0.06,0.06,W_GWM10154,hh-W_GWM10154
2019,10,0.52,0.52,0.52,W_GWM10154,hh-W_GWM10154
2019,11,0.64,0.64,0.64,W_GWM10154,hh-W_GWM10154
2019,12,0.55,0.55,0.55,W_GWM10154,hh-W_GWM10154
2020,1,0.44,0.44,0.44,W_GWM10154,hh-W_GWM10154
2020,2,0.65,0.65,0.65,W_GWM10154,hh-W_GWM10154
2020,3,0.73,0.73,0.73,W_GWM10154,hh-W_GWM10154
2020,4,0.41,0.41,0.41,W_GWM10154,hh-W_GWM10154
2020,5,0.12,0.12,0.12,W_GWM10154,hh-W_GWM10154
2020,6,0.02,0.02,0.02,W_GWM10154,hh-W_GWM10154
2020,7,0.1,0.1,0.1,W_GWM10154,hh-W_GWM10154
2020,8,0.28,0.28,0.28,W_GWM10154,hh-W_GWM10154
2020,9,0.39,0.39,0.39,W_GWM10154,hh-W_GWM10154
2020,10,0.23,0.23,0.23,W_GWM10154,hh-W_GWM10154
2020,11,0.24,0.24,0.24,W_GWM10154,hh-W_GWM10154
2020,12,0.15,0.15,0.15,W_GWM10154,hh-W_GWM10154
2021,1,0.55,0.55,0.55,W_GWM10154,hh-W_GWM10154
2021,2,0.47,0.47,0.47,W_GWM10154,hh-W_GWM10154
2021,3,0.41,0.41,0.41,W_GWM10154,hh-W_GWM10154
2021,4,0.12,0.12,0.12,W_GWM10154,hh-W_GWM10154
2021,5,0.15,0.15,0.15,W_GWM10154,hh-W_GWM10154
2021,6,0.14,0.14,0.14,W_GWM10154,hh-W_GWM10154
2021,7,0.08,0.08,0.08,W_GWM10154,hh-W_GWM10154
2021,8,0.16,0.16,0.16,W_GWM10154,hh-W_GWM10154
2021,9,0.29,0.29,0.29,W_GWM10154,hh-W_GWM10154
2021,10,0.16,0.16,0.16,W_GWM10154,hh-W_GWM10154
2021,11,0.33,0.33,0.33,W_GWM10154,hh-W_GWM10154
2021,12,0.33,0.33,0.33,W_GWM10154,hh-W_GWM10154
1990,1,,,,W_GWM1031,hh-W_GWM1031
1990,2,,,,W_GWM1031,hh-W_GWM1031
1990,3,,,,W_GWM1031,hh-W_GWM1031
1990,4,,,,W_GWM1031,hh-W_GWM1031
1990,5,,,,W_GWM1031,hh-W_GWM1031
1990,6,,,,W_GWM1031,hh-W_GWM1031
1990,7,,,,W_GWM1031,hh-W_GWM1031
1990,8,,,,W_GWM1031,hh-W_GWM1031
1990,9,,,,W_GWM1031,hh-W_GWM1031
1990,10,,,,W_GWM1031,hh-W_GWM1031
1990,11,,,,W_GWM1031,hh-W_GWM1031
1990,12,,,,W_GWM1031,hh-W_GWM1031
1991,1,,,,W_GWM1031,hh-W_GWM1031
1991,2,,,,W_GWM1031,hh-W_GWM1031
1991,3,,,,W_GWM1031,hh-W_GWM1031
1991,4,,,,W_GWM1031,hh-W_GWM1031
1991,5,,,,W_GWM1031,hh-W_GWM1031
1991,6,,,,W_GWM1031,hh-W_GWM1031
1991,7,,,,W_GWM1031,hh-W_GWM1031
1991,8,,,,W_GWM1031,hh-W_GWM1031
1991,9,,,,W_GWM1031,hh-W_GWM1031
1991,10,,,,W_GWM1031,hh-W_GWM1031
1991,11,,,,W_GWM1031,hh-W_GWM1031
1991,12,,,,W_GWM1031,hh-W_GWM1031
1992,1,,,,W_GWM1031,hh-W_GWM1031
1992,2,,,,W_GWM1031,hh-W_GWM1031
1992,3,,,,W_GWM1031,hh-W_GWM1031
1992,4,,,,W_GWM1031,hh-W_GWM1031
1992,5,,,,W_GWM1031,hh-W_GWM1031
1992,6,,,,W_GWM1031,hh-W_GWM1031
1992,7,,,,W_GWM1031,hh-W_GWM1031
1992,8,,,,W_GWM1031,hh-W_GWM1031
1992,9,,,,W_GWM1031,hh-W_GWM1031
